Africa,Western Africa,Guinea,UN-CTS/WPB-ICPR,,,,,2539.00,2780.00,,3800.00,,2600.00,,3110.00,,2900.00,,,,,,25.15,26.93,,35.20,,23.05,,26.34,,23.34
Africa,Western Africa,Guinea-Bissau,WPB-ICPR,,,,,,,,,,,92.00,,,196.00,,,,,,,,,,,,5.47,,,10.79
Americas,South America,Guyana,UN-CTS,,1280.00,1461.00,1861.00,2171.00,2117.00,2179.00,2160.00,2035.00,2032.00,1998.00,,1998.00,,,,170.29,194.55,248.27,290.29,283.66,292.21,289.33,271.66,269.82,263.56,,259.98,
Americas,Caribbean,Haiti,WPB-ICPR,3519.00,1941.00,3670.00,4663.00,6370.00,8204.00,,5331.00,,8722.00,9936.00,10461.00,11046.00,,,39.20,21.28,39.62,49.56,66.65,84.53,,53.31,,84.77,95.25,98.95,103.13,
Europe,Southern Europe,Holy See,UN-CTS,,,,,,,0.00,0.00,0.00,1.00,0.00,0.00,1.00,,,,,,,,,0.00,0.00,0.00,124.38,0.00,0.00,124.53,
Americas,Central America,Honduras,UN-CTS/WPB-ICPR,,10931.00,11589.00,11178.00,,11390.00,,11770.00,12006.00,12095.00,13184.00,14882.00,16158.00,17494.00,,,151.73,157.17,148.22,,144.68,,143.63,143.76,142.20,152.28,168.94,180.32,191.98
Europe,Eastern Europe,Hungary,UN-CTS,16860.00,16546.00,15755.00,14822.00,14353.00,14743.00,15432.00,16328.00,17210.00,17179.00,17841.00,17890.00,17449.00,17658.00,,166.24,163.58,156.20,147.40,143.19,147.56,154.96,164.47,173.87,174.06,181.28,182.30,178.34,181.08
Europe,Northern Europe,Iceland,UN-CTS,109.00,115.00,119.00,119.00,115.00,140.00,148.00,167.00,150.00,153.00,152.00,154.00,,124.00,,37.85,39.50,40.34,39.70,37.68,45.03,46.82,52.13,46.38,47.00,46.48,46.89,,37.26
Asia,Southern Asia,India,UN-CTS/WPB-ICPR,313635.00,331391.00,358368.00,373271.00,376396.00,384753.00,376969.00,368998.00,372926.00,385135.00,411992.00,418536.00,419623.00,,,28.31,29.43,31.32,32.12,31.91,32.14,31.04,29.98,29.90,30.49,32.22,32.35,32.06,
Asia,South-Eastern Asia,Indonesia,UN-CTS/WPB-ICPR,84357.00,87185.00,97691.00,116688.00,,137144.00,,117863.00,,156446.00,160061.00,159964.00,173572.00,202621.00,,38.25,38.99,43.09,50.77,,58.07,,48.60,,62.86,63.51,62.70,67.23,77.64
Asia,Southern Asia,Iran (Islamic Republic of),WPB-ICPR,157267.00,,134384.00,,148843.00,,168516.00,,250000.00,,226220.00,225624.00,,,,228.54,,190.83,,206.64,,228.69,,331.16,,292.14,287.75,,
Asia,Western Asia,Iraq (Central Iraq),UN-CTS,,,,,,16767.00,20104.00,24965.00,26369.00,31187.00,30499.00,,,,,,,,,,67.50,78.75,94.95,97.14,111.09,104.98,,,
Europe,Northern Europe,Ireland,UN-CTS,3234.00,3162.00,3022.00,3080.00,3253.00,3484.00,3868.00,4318.00,4216.00,4287.00,4088.00,3777.00,3755.00,3716.00,,79.86,76.58,71.73,71.57,73.96,77.60,84.67,93.32,90.42,91.64,87.31,80.60,79.89,78.43
Europe,Northern Europe,Isle of Man,WPB-ICPR,,51.00,,76.00,,107.00,,97.00,,81.00,,,,76.00,,,67.69,,98.81,,136.25,,121.14,,99.50,,,,90.78
Asia,Western Asia,Israel,UN-CTS,12228.00,13909.00,16055.00,20617.00,21949.00,21905.00,,20191.00,18967.00,20291.00,18610.00,20781.00,,,,192.58,215.02,243.15,305.20,317.06,308.63,,271.90,250.60,263.55,237.95,261.68,,
Europe,Southern Europe,Italy,UN-CTS,54993.00,56903.00,60415.00,39794.00,49697.00,59284.00,65598.00,69263.00,68325.00,67102.00,63848.00,54745.00,53410.00,,,94.58,97.28,102.73,67.36,83.79,99.63,109.99,115.96,114.33,112.33,107.01,91.88,89.76,
Americas,Caribbean,Jamaica,UN-CTS/WPB-ICPR,4744.00,,4825.00,4913.00,4709.00,,5163.00,,4457.00,4364.00,4112.00,4034.00,3854.00,3799.00,,174.89,,175.80,177.99,169.67,,184.12,,157.52,153.61,144.19,140.95,134.20,131.90
Asia,Eastern Asia,Japan,UN-CTS,73734.00,76413.00,79055.00,81255.00,79809.00,76881.00,75250.00,72975.00,69876.00,67008.00,62971.00,60486.00,58497.00,55967.00,,57.57,59.60,61.60,63.27,62.11,59.81,58.53,56.77,54.38,52.18,49.08,47.19,45.71,43.83
Europe,Northern Europe,Jersey,WPB-ICPR,,170.00,,174.00,,181.00,,177.00,,157.00,,,,140.00,,,,,,,,,,,,,,,
